Date,Beras,Beras Kualitas Bawah I (kg),Beras Kualitas Bawah II (kg),Beras Kualitas Medium I (kg),Beras Kualitas Medium II (kg),Beras Kualitas Super I (kg),Beras Kualitas Super II (kg),Daging Ayam,Daging Ayam Ras Segar (kg),Daging Sapi,Daging Sapi Kualitas 1 (kg),Daging Sapi Kualitas 2 (kg),Telur Ayam,Telur Ayam Ras Segar(kg),Bawang Merah,Bawang Merah Ukuran Sedang (kg),Bawang Putih,Bawang Putih Ukuran Sedang (kg),Cabai Merah,Cabai Merah Besar (kg),Cabai Merah Keriting  (kg),Cabai Rawit,Cabai Rawit Hijau (kg),Cabai Rawit Merah (kg),Minyak Goreng,Minyak Goreng Curah (kg),Minyak Goreng Kemasan Bermerk 1 (kg),Minyak Goreng Kemasan Bermerk 2 (kg),Gula Pasir,Gula Pasir Kualitas Premium (kg),Gula Pasir Lokal (kg)
27/08/2018,11700,10600,10300,11750,11600,12950,12550,37100,37100,116400,119950,111050,24950,24950,26500,26500,26650,26650,36300,37400,35500,39900,38800,40700,13500,11600,14600,14050,13700,15400,12300
28/08/2018,11650,10600,10300,11750,11600,12900,12550,37000,37000,116200,119800,110800,24950,24950,26250,26250,26650,26650,35400,37000,34500,39350,38550,39900,13500,11550,14600,14100,13700,15400,12300
29/08/2018,11650,10600,10300,11750,11600,12900,12550,36900,36900,116000,119650,110750,24950,24950,26100,26100,26500,26500,34900,36100,34350,38850,38150,39400,13500,11550,14600,14100,13700,15400,12300
30/08/2018,11650,10650,10300,11750,11600,12900,12550,36650,36650,115700,119350,110700,24950,24950,26050,26050,26600,26600,33650,34750,33250,38500,37800,39050,13500,11550,14600,14100,13700,15400,12300
31/08/2018,11650,10650,10300,11750,11600,12900,12550,36450,36450,115650,119250,110700,24950,24950,25800,25800,26500,26500,33250,34150,32800,37750,37100,38200,13500,11550,14600,14050,13650,15400,12300
03/09/2018,11700,10650,10300,11800,11600,12950,12550,35850,35850,115700,119350,110700,24800,24800,25450,25450,26300,26300,31750,32250,31500,36000,35350,36200,13450,11550,14550,14000,13700,15400,12300
04/09/2018,11700,10650,10300,11750,11600,12900,12550,35600,35600,115650,119300,110700,24800,24800,25250,25250,26300,26300,31000,31400,30850,36200,35800,36500,13500,11550,14600,14050,13650,15350,12300
05/09/2018,11700,10650,10300,11800,11650,12950,12550,35400,35400,115600,119250,110600,24700,24700,25150,25150,26200,26200,31050,31650,30750,35800,35550,35750,13450,11550,14600,14050,13650,15350,12300
06/09/2018,11650,10650,10300,11750,11600,12900,12500,35250,35250,115400,119100,110300,24650,24650,25150,25150,26350,26350,30900,31250,30300,35400,35250,35150,13500,11600,14550,14050,13650,15400,12300
07/09/2018,11700,10650,10300,11800,11650,12950,12550,35000,35000,115600,119250,110700,24550,24550,25000,25000,26050,26050,31000,31400,30650,35650,35500,35400,13450,11550,14550,14050,13600,15350,12250
10/09/2018,11700,10650,10300,11750,11600,12950,12600,34650,34650,115400,119050,110400,24400,24400,24850,24850,25950,25950,30500,30950,30100,35150,35400,34300,13450,11550,14600,14050,13600,15350,12250
12/09/2018,11700,10600,10300,11750,11650,12950,12600,34350,34350,115400,119050,110400,24350,24350,24500,24500,25750,25750,30600,31250,29950,35000,35200,33950,13450,11550,14550,14050,13600,15300,12200
13/09/2018,11700,10600,10300,11750,11650,12950,12600,34200,34200,115400,119100,110400,24350,24350,24350,24350,25700,25700,30550,30850,30050,34850,35100,33800,13450,11550,14550,14050,13600,15300,12250
14/09/2018,11700,10600,10300,11750,11650,12950,12600,34100,34100,115400,119100,110400,24250,24250,24200,24200,25550,25550,30400,30200,30150,34600,34950,33400,13450,11550,14550,14050,13550,15300,12200
17/09/2018,11700,10650,10300,11750,11650,12950,12600,33850,33850,115500,119200,110350,23950,23950,23750,23750,25400,25400,30350,30300,29850,34500,34750,33350,13450,11550,14550,14050,13550,15250,12200
18/09/2018,11700,10650,10300,11750,11650,12950,12600,33750,33750,115350,119200,110000,23900,23900,23600,23600,25400,25400,30250,30300,29600,34650,34900,33650,13450,11550,14550,14050,13550,15250,12200
19/09/2018,11700,10650,10300,11750,11650,12950,12600,33650,33650,115500,119150,110400,23800,23800,23350,23350,25300,25300,30000,30300,29150,34550,35000,33400,13450,11550,14550,14000,13550,15250,12150
20/09/2018,11700,10650,10250,11750,11600,12950,12600,33550,33550,115500,119100,110400,23650,23650,23250,23250,25100,25100,29750,29850,29000,34750,35150,33700,13450,11500,14550,14000,13500,15250,12150
21/09/2018,11650,10650,10200,11750,11600,12950,12600,33550,33550,115500,119150,110450,23650,23650,23050,23050,25150,25150,29700,29650,28950,34800,35050,33850,13450,11500,14550,14050,13550,15250,12150
24/09/2018,11700,10650,10250,11750,11550,13000,12600,33150,33150,115650,119300,110500,23450,23450,22800,22800,25000,25000,29950,30000,29200,35850,35650,35400,13450,11500,14550,14000,13500,15200,12150
25/09/2018,11700,10650,10250,11750,11550,12950,12600,33050,33050,115600,119250,110500,23300,23300,22600,22600,24850,24850,30000,29700,29450,35750,35700,35100,13450,11500,14550,14000,13500,15250,12100
26/09/2018,11750,10650,10300,11800,11600,13050,12650,33150,33150,115750,119500,110500,23400,23400,22450,22450,24800,24800,30400,30150,29800,36100,36200,35200,13400,11450,14500,14000,13450,15200,12150
27/09/2018,11700,10650,10250,11750,11550,13000,12600,32950,32950,115600,119250,110500,23200,23200,22300,22300,24650,24650,30100,29850,29550,35600,35650,34650,13450,11500,14550,14000,13450,15150,12150
28/09/2018,11700,10650,10250,11750,11550,12950,12600,33000,33000,115650,119250,110500,23150,23150,22200,22200,24500,24500,30300,29950,29800,35550,35550,34550,13400,11450,14550,14000,13500,15200,12100
01/10/2018,11700,10650,10250,11700,11550,13000,12600,33350,33350,115600,119250,110500,23150,23150,21950,21950,24450,24450,30550,30300,30250,36300,35850,36050,13400,11450,14550,14000,13500,15200,12100
02/10/2018,11700,10650,10250,11750,11550,13000,12650,33600,33600,115750,119500,110500,23200,23200,21850,21850,24350,24350,31000,30700,30650,36250,35600,36250,13400,11400,14500,14000,13500,15200,12100
03/10/2018,11700,10650,10250,11750,11600,13000,12650,33750,33750,115700,119550,110400,23300,23300,21700,21700,24250,24250,31250,30850,30950,36300,35600,36350,13400,11400,14500,13950,13450,15200,12100
04/10/2018,11700,10650,10250,11800,11600,13050,12650,33800,33800,115750,119550,110450,23350,23350,21500,21500,24100,24100,31300,30750,31000,36150,35200,36100,13350,11400,14500,13950,13450,15200,12100
05/10/2018,11700,10650,10250,11800,11550,13000,12650,33950,33950,115550,119500,110000,23300,23300,21450,21450,24000,24000,31300,30700,30850,36150,35250,36100,13350,11350,14500,13950,13450,15250,12100
08/10/2018,11700,10650,10250,11750,11550,13000,12650,34000,34000,115600,119250,110450,23350,23350,21450,21450,24100,24100,31850,31400,31100,36750,35800,36850,13400,11450,14550,13950,13500,15250,12100
09/10/2018,11700,10650,10300,11750,11550,13000,12600,34200,34200,115700,119350,110550,23250,23250,21450,21450,24050,24050,32550,31950,31750,36450,35200,36750,13400,11450,14500,14000,13450,15200,12100
10/10/2018,11700,10650,10250,11750,11550,13000,12600,34300,34300,115800,119500,110650,23250,23250,21550,21550,24050,24050,32400,32300,31500,36250,35450,35950,13400,11450,14550,14000,13450,15200,12100
11/10/2018,11700,10650,10250,11750,11500,13000,12600,34400,34400,115900,119600,110750,23350,23350,21650,21650,24100,24100,32600,32500,31600,36150,35100,36150,13400,11450,14550,14000,13450,15200,12100
12/10/2018,11700,10650,10250,11800,11550,13000,12600,34400,34400,115900,119600,110700,23350,23350,21700,21700,24050,24050,32650,32100,32050,36150,35350,36100,13400,11450,14550,14000,13450,15200,12100
15/10/2018,11750,10700,10300,11750,11600,13000,12650,34700,34700,115400,119250,110050,23400,23400,22300,22300,24350,24350,33400,33150,32400,36800,35800,37000,13400,11450,14550,14000,13450,15200,12050
16/10/2018,11750,10700,10300,11750,11600,13000,12650,34600,34600,115600,119300,110400,23300,23300,22500,22500,24450,24450,33800,33350,32950,37050,36150,37100,13400,11450,14500,14000,13450,15200,12050
17/10/2018,11750,10700,10300,11750,11600,13050,12650,34650,34650,115700,119500,110350,23200,23200,22650,22650,24600,24600,33650,32400,33550,36600,35800,36500,13350,11450,14500,13950,13400,15100,12100
18/10/2018,11750,10700,10300,11750,11600,13000,12650,34400,34400,115600,119300,110350,23250,23250,22700,22700,24700,24700,33900,33350,33250,36650,36100,36300,13400,11450,14500,14000,13450,15200,12050
19/10/2018,11750,10700,10300,11750,11600,13000,12650,34350,34350,115600,119300,110350,23250,23250,22800,22800,24850,24850,34000,33500,33250,36750,36000,36550,13400,11450,14500,13950,13450,15200,12050
22/10/2018,11750,10700,10300,11750,11600,13000,12650,34200,34200,115600,119250,110350,23200,23200,22950,22950,25000,25000,35250,34350,34900,36950,35800,37050,13400,11400,14500,14000,13400,15200,12050
23/10/2018,11700,10650,10250,11750,11550,13000,12600,34000,34000,115350,119100,110000,23150,23150,23100,23100,25200,25200,35000,34050,34800,37250,36150,37350,13350,11350,14500,13950,13400,15150,12000
24/10/2018,11750,10700,10300,11800,11600,13000,12650,34000,34000,115550,119200,110400,23250,23250,23100,23100,25200,25200,34850,33900,34800,36750,35700,36750,13350,11400,14500,14000,13400,15200,12000
25/10/2018,11750,10700,10300,11750,11600,13000,12650,34100,34100,115550,119200,110350,23150,23150,23300,23300,25400,25400,34850,34000,34800,36450,35500,36400,13350,11400,14500,14000,13400,15200,12050
26/10/2018,11750,10650,10300,11750,11600,13000,12650,34150,34150,115550,119200,110350,23150,23150,23350,23350,25300,25300,34550,33600,34500,36600,35750,36500,13350,11400,14500,13950,13400,15200,12050
29/10/2018,11750,10700,10300,11800,11600,13000,12650,33800,33800,115550,119200,110350,23150,23150,23400,23400,25400,25400,34600,33600,34650,36700,35850,36500,13350,11400,14500,13950,13400,15200,12000
30/10/2018,11750,10700,10300,11800,11600,13000,12650,33750,33750,115500,119200,110250,23150,23150,23500,23500,25450,25450,34350,33450,34350,36550,35900,36150,13350,11400,14500,13950,13400,15200,12050
31/10/2018,11750,10700,10300,11800,11600,13000,12650,33900,33900,115600,119250,110500,23150,23150,23600,23600,25500,25500,34250,33350,34350,36400,35750,36100,13350,11400,14500,13950,13400,15150,12000
01/11/2018,11750,10700,10350,11800,11600,13000,12650,33700,33700,115600,119250,110500,23150,23150,23600,23600,25400,25400,33800,32950,33900,36300,35900,35950,13350,11350,14500,13950,13400,15150,12000
02/11/2018,11700,10650,10300,11750,11550,13000,12650,33600,33600,115600,119200,110600,23150,23150,23700,23700,25500,25500,33300,32700,33250,35900,35300,35800,13350,11350,14500,13950,13400,15150,12000
05/11/2018,11750,10650,10300,11800,11600,13000,12650,33600,33600,115600,119150,110600,23250,23250,23650,23650,25350,25350,33250,32650,33150,36600,35700,37450,13350,11350,14500,13950,13350,15150,12000
06/11/2018,11700,10600,10250,11750,11550,13000,12650,33500,33500,115450,119050,110350,23200,23200,23750,23750,25350,25350,33100,32600,32950,36650,35900,37650,13300,11300,14450,13950,13350,15100,12000
07/11/2018,11750,10650,10300,11800,11650,13000,12650,33550,33550,115650,119200,110650,23200,23200,23850,23850,25250,25250,32950,32600,32850,36800,35550,38100,13350,11350,14500,13950,13400,15150,12000
08/11/2018,11750,10650,10300,11800,11650,13000,12650,33500,33500,115600,119200,110600,23200,23200,24000,24000,25250,25250,32800,32700,32550,36700,35350,38150,13350,11350,14500,13950,13400,15150,12000
09/11/2018,11750,10700,10300,11800,11650,13000,12650,33350,33350,115600,119200,110550,23200,23200,24050,24050,25250,25250,32600,33000,32000,36500,35200,37950,13350,11300,14450,13900,13350,15100,12000
12/11/2018,11750,10700,10300,11800,11650,13000,12650,33600,33600,115750,119350,110700,23300,23300,24750,24750,25100,25100,33100,33550,32450,37200,35450,38850,13300,11300,14500,13900,13350,15100,11950
13/11/2018,11750,10700,10300,11800,11650,13000,12650,33650,33650,115750,119350,110700,23400,23400,25000,25000,25100,25100,32900,33600,32100,37450,35950,38850,13300,11300,14500,13900,13350,15100,11950
14/11/2018,11750,10700,10350,11800,11650,13050,12650,33700,33700,115750,119350,110700,23600,23600,25250,25250,25050,25050,32300,33250,31550,37100,36050,38100,13350,11300,14500,13950,13350,15100,12000
15/11/2018,11750,10700,10300,11800,11650,13050,12650,34000,34000,115750,119300,110700,23650,23650,25400,25400,24900,24900,32200,33250,31500,37150,36200,37850,13300,11300,14450,13900,13350,15100,11950
16/11/2018,11800,10700,10350,11900,11700,13100,12750,33950,33950,115900,119450,110900,23800,23800,25800,25800,24850,24850,32700,33800,32000,38000,36950,38850,13300,11300,14450,13900,13350,15100,11950
19/11/2018,11750,10700,10350,11800,11650,13050,12650,34150,34150,115850,119450,110950,24000,24000,25800,25800,24450,24450,33150,34650,32100,38000,36500,39200,13300,11250,14450,13900,13350,15100,11950
21/11/2018,11750,10700,10350,11800,11650,13050,12650,34250,34250,115750,119350,110750,24050,24050,26100,26100,24400,24400,32700,34100,31800,37800,36600,39050,13300,11250,14450,13900,13300,15100,11950
22/11/2018,11750,10700,10350,11800,11650,13050,12650,34300,34300,115750,119350,110750,24100,24100,26100,26100,24400,24400,32600,33850,31700,38250,36950,39700,13300,11250,14450,13900,13300,15100,11950
23/11/2018,11750,10700,10350,11800,11650,13050,12650,34450,34450,115750,119350,110750,24200,24200,26100,26100,24300,24300,32400,33750,31500,37500,35750,39500,13300,11200,14450,13900,13300,15100,11950
26/11/2018,11750,10700,10350,11800,11650,13050,12650,35050,35050,115750,119350,110750,24400,24400,26550,26550,24300,24300,32450,33500,31700,37600,35450,40000,13250,11200,14450,13900,13300,15100,11900
27/11/2018,11750,10700,10350,11800,11650,13050,12650,35300,35300,115750,119350,110700,24400,24400,26600,26600,24250,24250,32200,33350,31600,37350,35550,39200,13250,11200,14450,13900,13300,15050,11900
28/11/2018,11800,10700,10350,11850,11650,13100,12700,35350,35350,115750,119300,110750,24450,24450,26800,26800,24250,24250,32150,33300,31400,37400,35500,39150,13250,11150,14450,13900,13300,15050,11900
29/11/2018,11800,10700,10350,11850,11650,13100,12700,35450,35450,115700,119300,110750,24600,24600,26900,26900,24150,24150,32200,33400,31550,37650,35400,39600,13250,11150,14450,13900,13300,15050,11900
30/11/2018,11800,10750,10350,11850,11650,13100,12700,35500,35500,115600,119200,110650,24650,24650,27200,27200,24250,24250,32550,33700,31850,38000,35600,40150,13250,11150,14450,13900,13300,15050,11900
03/12/2018,11800,10700,10350,11850,11650,13100,12700,35650,35650,115650,119300,110550,25000,25000,28050,28050,24100,24100,32600,33650,31950,38750,36050,41500,13250,11150,14450,13900,13300,15050,11900
04/12/2018,11800,10700,10350,11850,11650,13100,12700,35700,35700,115750,119350,110750,25200,25200,28150,28150,24100,24100,32500,33650,31850,38700,36150,41300,13250,11150,14450,13900,13250,15000,11900
05/12/2018,11800,10700,10350,11850,11650,13100,12700,35850,35850,115750,119350,110750,25350,25350,28300,28300,24150,24150,32500,33750,31850,38800,36050,41500,13200,11100,14400,13850,13250,15000,11900
06/12/2018,11800,10700,10350,11850,11700,13100,12700,35850,35850,115750,119350,110750,25450,25450,28550,28550,24150,24150,32500,33850,31800,39050,36250,41800,13200,11100,14400,13850,13250,15000,11900
07/12/2018,11800,10700,10350,11850,11650,13100,12700,35750,35750,115750,119350,110750,25550,25550,28750,28750,24150,24150,33000,34550,32000,39200,36650,41950,13200,11100,14400,13850,13250,15000,11850
10/12/2018,11800,10700,10350,11850,11650,13100,12700,35850,35850,115650,119300,110550,25700,25700,29350,29350,24150,24150,33250,34500,32650,38550,35850,41200,13200,11100,14400,13850,13250,15050,11850
11/12/2018,11800,10700,10350,11850,11700,13100,12700,36000,36000,115600,119200,110500,25800,25800,29500,29500,24050,24050,33500,34950,32800,38700,36100,41400,13200,11100,14450,13850,13250,15000,11850
12/12/2018,11800,10700,10350,11850,11700,13100,12700,36100,36100,115750,119300,110700,26000,26000,29850,29850,24000,24000,33250,34450,32700,38350,35650,41200,13200,11050,14400,13850,13250,15000,11850
13/12/2018,11800,10700,10350,11850,11700,13100,12700,36050,36050,115650,119250,110600,26100,26100,29900,29900,24000,24000,33250,34500,32600,38300,35650,41200,13200,11050,14450,13850,13250,15000,11850
14/12/2018,11800,10700,10350,11850,11700,13100,12700,36150,36150,115650,119250,110600,26150,26150,30000,30000,23900,23900,33450,34700,32700,38450,35800,41200,13200,11050,14400,13850,13250,15000,11900
17/12/2018,11800,10750,10350,11850,11700,13100,12700,36650,36650,115500,119050,110400,26300,26300,30300,30300,23900,23900,33500,35150,32500,38250,36100,41200,13200,11050,14400,13850,13200,15000,11800
18/12/2018,11800,10750,10350,11850,11700,13150,12750,37100,37100,115650,119200,110600,26300,26300,30500,30500,24050,24050,33600,35450,32450,38350,36050,41450,13300,11100,14550,13950,13150,15000,11750
19/12/2018,11800,10750,10350,11850,11700,13150,12750,37300,37300,115700,119200,110650,26350,26350,30600,30600,24100,24100,33900,35900,32450,38650,36150,42050,13200,11050,14450,13800,13250,15000,11800
20/12/2018,11800,10750,10350,11850,11700,13100,12750,37600,37600,115750,119300,110700,26450,26450,30650,30650,24050,24050,33900,36000,32300,38800,36050,42350,13200,11050,14450,13800,13250,15000,11800
21/12/2018,11850,10750,10350,11900,11700,13100,12750,37850,37850,115800,119500,110600,26450,26450,30750,30750,24000,24000,33900,36050,32250,39200,35900,43350,13200,11050,14450,13850,13250,15000,11800
24/12/2018,11500,10400,9950,11700,11300,13000,12550,39200,39200,115900,119300,113500,27550,27550,31650,31650,24150,24150,37950,45050,33800,43100,37850,47950,12850,10500,14150,13600,13300,15150,11450
26/12/2018,11850,10800,10400,11950,11700,13200,12800,39100,39100,116450,120100,111500,27500,27500,31200,31200,24500,24500,34300,36150,33400,41550,36200,47550,13200,11050,14450,13750,13300,15050,11850
27/12/2018,11800,10750,10350,11850,11700,13100,12700,39200,39200,116150,119800,111200,27100,27100,31300,31300,24150,24150,34450,36050,33450,41750,36700,47750,13200,11050,14450,13800,13250,15000,11800
28/12/2018,11850,10750,10350,11850,11700,13150,12750,39550,39550,116000,119550,111000,26800,26800,31450,31450,24200,24200,34650,36250,33550,41650,36650,47600,13200,11050,14400,13800,13250,15000,11800
31/12/2018,11850,10750,10300,11850,11700,13150,12750,40050,40050,115700,119300,110450,26950,26950,32250,32250,24150,24150,34400,35950,33400,41650,36750,48400,13200,11100,14400,13850,13200,14900,11800
02/01/2019,11850,10800,10400,11900,11750,13150,12750,39700,39700,115800,119300,111100,26850,26850,32500,32500,24050,24050,34400,35950,33300,41850,36500,48700,13150,11100,14400,13750,13200,14950,11800
03/01/2019,11850,10800,10400,11900,11750,13150,12750,39350,39350,115800,119300,111050,26800,26800,32750,32750,23950,23950,33900,35500,32750,42500,36600,49750,13150,11100,14400,13750,13200,14950,11800
04/01/2019,11850,10800,10450,11900,11750,13150,12750,39150,39150,115800,119300,111000,26750,26750,32850,32850,24000,24000,33600,35150,32550,41800,36000,48850,13150,11100,14400,13750,13200,14950,11800
07/01/2019,11850,10800,10450,11950,11750,13150,12750,38500,38500,115500,119000,110700,26500,26500,33350,33350,24050,24050,33000,34700,31750,40250,35550,45900,13150,11050,14400,13750,13200,14950,11800
08/01/2019,11900,10850,10450,11950,11750,13150,12750,38100,38100,115450,118950,110600,26350,26350,33700,33700,24050,24050,32750,34550,31700,39600,35050,44900,13150,11100,14400,13750,13200,14900,11750
09/01/2019,11900,10850,10450,11950,11750,13150,12750,37850,37850,115450,118950,110600,26350,26350,33800,33800,24100,24100,32400,34150,31500,39300,34650,44750,13150,11050,14400,13750,13200,14900,11750
10/01/2019,11900,10850,10450,11950,11750,13150,12750,37500,37500,115450,118950,110600,26300,26300,33850,33850,24050,24050,32100,33800,31150,38850,34450,44150,13150,11100,14400,13750,13200,14900,11750
11/01/2019,11900,10850,10450,11950,11750,13150,12750,37150,37150,115400,118950,110500,26300,26300,33650,33650,24150,24150,31700,33450,30850,38550,34350,43450,13150,11100,14400,13750,13200,14900,11800
14/01/2019,11900,10850,10500,11950,11800,13150,12800,36250,36250,115400,118950,110550,26200,26200,33500,33500,24100,24100,31000,33100,29400,37400,33700,42500,13150,11100,14400,13700,13200,14900,11750
15/01/2019,11900,10850,10500,11950,11800,13150,12800,36150,36150,115400,118950,110550,26150,26150,33400,33400,24150,24150,30700,32800,29050,37000,33350,42150,13150,11100,14400,13700,13100,14750,11750
16/01/2019,11900,10850,10500,11950,11800,13150,12800,36050,36050,115400,119000,110500,26050,26050,33400,33400,24050,24050,29800,32050,28250,36450,32850,41500,13150,11100,14350,13750,13100,14750,11750
17/01/2019,11900,10850,10500,11950,11800,13150,12800,35950,35950,115400,119000,110450,26000,26000,33350,33350,24050,24050,29700,32000,28050,36300,32800,41200,13150,11100,14350,13750,13100,14750,11800
18/01/2019,11900,10850,10500,11950,11800,13150,12800,35800,35800,115400,118950,110450,25950,25950,33350,33350,24100,24100,30100,32750,28250,36200,32700,41050,13150,11100,14350,13750,13100,14750,11800
21/01/2019,11900,10850,10500,11950,11800,13200,12800,35200,35200,115450,119000,110450,25700,25700,33050,33050,23950,23950,28850,31100,27450,34650,32300,38200,13150,11150,14350,13750,13100,14750,11800
22/01/2019,11900,10850,10500,11950,11800,13200,12800,35050,35050,115450,119050,110450,25700,25700,33000,33000,23900,23900,28800,31300,27100,34150,32200,37000,13150,11150,14350,13750,13100,14750,11800
23/01/2019,11900,10850,10500,11950,11850,13200,12800,34800,34800,115450,119100,110450,25550,25550,32700,32700,23950,23950,28600,31100,26850,33900,32050,36500,13100,11150,14350,13700,13100,14700,11750
24/01/2019,11900,10850,10500,11950,11850,13200,12800,34550,34550,115450,119050,110500,25450,25450,32600,32600,24000,24000,28750,31200,27000,33800,32050,35950,13100,11150,14350,13650,13100,14700,11750
25/01/2019,11900,10850,10500,11950,11850,13200,12800,34300,34300,115500,119100,110500,25350,25350,32300,32300,24000,24000,28600,31050,26950,33800,32050,36100,13150,11200,14350,13700,13100,14750,11750
28/01/2019,11950,10850,10450,12000,11850,13200,12800,33900,33900,115850,119450,110500,25300,25300,31450,31450,24000,24000,28400,30700,26750,33200,31450,35500,13150,11200,14400,13700,13100,14750,11750
29/01/2019,11950,10850,10450,12000,11850,13200,12800,33750,33750,115800,119450,110500,25250,25250,31200,31200,23950,23950,28550,31300,26550,32950,31450,34850,13150,11150,14400,13700,13100,14750,11750
30/01/2019,11950,10850,10450,12100,11850,13200,12800,33600,33600,115800,119450,110500,25450,25450,30750,30750,24050,24050,27750,29850,26650,32600,31000,34600,13150,11150,14400,13700,13100,14750,11750
31/01/2019,11950,10850,10450,12000,11850,13200,12800,33500,33500,115800,119450,110500,25150,25150,30700,30700,23950,23950,27350,29550,26250,32000,30800,33450,13150,11200,14400,13700,13100,14750,11750
01/02/2019,11950,10850,10450,12050,11850,13200,12800,33400,33400,116350,119800,111300,25150,25150,30550,30550,24050,24050,27300,29250,26400,32000,30500,33700,13150,11200,14400,13700,13100,14750,11750
04/02/2019,11950,10850,10450,12050,11850,13200,12800,33200,33200,116350,119750,111350,25150,25150,30200,30200,24100,24100,27300,29150,26300,31800,30250,33500,13200,11200,14400,13700,13050,14750,11750
06/02/2019,11950,10850,10450,12050,11850,13200,12800,33350,33350,116350,119750,111350,25000,25000,29550,29550,23950,23950,27000,28800,26000,31650,30300,33150,13200,11200,14400,13700,13050,14750,11750
07/02/2019,11900,10850,10450,12000,11800,13200,12800,33500,33500,116350,119750,111350,24950,24950,29350,29350,24050,24050,27050,28800,26050,31550,30300,32700,13150,11200,14400,13700,13050,14750,11750
08/02/2019,11950,10850,10450,12050,11850,13200,12800,33650,33650,116400,119550,111650,24850,24850,29200,29200,24050,24050,27050,29050,25950,31600,30500,32550,13150,11250,14350,13650,13050,14750,11750
11/02/2019,11950,10850,10450,12050,11850,13200,12800,33700,33700,116300,119750,111250,24750,24750,29000,29000,24950,24950,27650,29550,26500,31750,30650,32550,13150,11250,14350,13650,13050,14750,11750
12/02/2019,11950,10850,10450,12050,11850,13200,12800,33550,33550,116300,119700,111250,24700,24700,28950,28950,25150,25150,27500,29450,26250,31500,30700,32050,13150,11250,14350,13650,13050,14750,11750
13/02/2019,11950,10850,10450,12050,11850,13200,12800,33600,33600,116350,119750,111250,24650,24650,28950,28950,25200,25200,27450,29350,26250,31550,30800,32050,13150,11250,14350,13650,13050,14750,11750
14/02/2019,11950,10850,10450,12050,11850,13200,12800,33500,33500,116350,119750,111250,24600,24600,28950,28950,25350,25350,27450,29300,26300,31400,30650,31900,13150,11250,14350,13650,13050,14750,11750
15/02/2019,11950,10850,10450,12050,11850,13200,12800,33450,33450,116350,119750,111250,24550,24550,28800,28800,25450,25450,27350,29100,26350,31250,30500,31700,13150,11250,14350,13650,13050,14750,11750
18/02/2019,11950,10850,10450,12050,11850,13200,12800,33350,33350,116350,119800,111300,24400,24400,28600,28600,25800,25800,27450,29150,26450,31500,30250,32350,13150,11250,14350,13700,13050,14700,11750
19/02/2019,11900,10850,10450,12000,11800,13200,12800,33300,33300,116300,119750,111300,24350,24350,28600,28600,25950,25950,27150,29150,26100,31450,30100,32400,13200,11250,14350,13700,13050,14700,11750
20/02/2019,11900,10850,10450,12000,11800,13200,12800,33150,33150,116250,119650,111200,24300,24300,28450,28450,26000,26000,27050,28800,26050,31300,29900,32100,13200,11250,14350,13700,13050,14700,11750
21/02/2019,11900,10850,10450,12000,11800,13200,12800,33150,33150,116400,119750,111050,24300,24300,28400,28400,25850,25850,27250,29050,26150,31350,29950,32150,13200,11250,14350,13700,13100,14700,11800
22/02/2019,11900,10850,10500,12000,11800,13200,12800,33100,33100,116400,119750,111050,24300,24300,28450,28450,25950,25950,27150,28850,26100,31450,29900,32300,13200,11250,14350,13700,13100,14700,11800
25/02/2019,11900,10850,10500,12000,11800,13200,12800,32900,32900,116300,119800,111200,24200,24200,28700,28700,26000,26000,27200,28800,26150,31700,30200,32600,13200,11250,14350,13700,13150,14700,11850
26/02/2019,11900,10850,10500,12000,11800,13200,12800,32950,32950,116400,119850,111350,24150,24150,28850,28850,26100,26100,27000,28500,25950,31700,30200,32500,13200,11250,14350,13700,13150,14700,11900
27/02/2019,11900,10800,10400,12000,11800,13200,12800,32700,32700,116100,119650,111350,24050,24050,28800,28800,25950,25950,26950,28400,25900,31550,30150,32300,13200,11250,14350,13650,13100,14650,11900
28/02/2019,11900,10800,10450,11950,11800,13150,12800,32800,32800,116450,119900,111450,24150,24150,29000,29000,26100,26100,27000,28400,26050,31700,30100,32700,13200,11250,14350,13700,13150,14700,11900
01/03/2019,11900,10800,10400,11950,11750,13150,12800,32700,32700,116450,119900,111400,24050,24050,29000,29000,26050,26050,27050,28600,26050,32150,30200,33700,13200,11250,14350,13700,13150,14700,11900
04/03/2019,11850,10800,10450,11950,11750,13150,12800,32350,32350,116900,120450,111400,24000,24000,29800,29800,26150,26150,26700,28900,25500,33350,31250,35550,13150,11200,14300,13650,13150,14700,11950
05/03/2019,11850,10750,10450,11950,11800,13150,12750,32300,32300,116850,120500,111250,23950,23950,30150,30150,26200,26200,26950,28750,25850,33500,31350,35800,13200,11350,14300,13650,13150,14700,11950
06/03/2019,11850,10800,10450,11950,11800,13200,12800,32200,32200,116550,120050,111400,24050,24050,30650,30650,26650,26650,27100,29250,25850,33950,31650,36600,13150,11300,14300,13650,13200,14750,11950
08/03/2019,11850,10800,10400,11950,11750,13200,12800,32050,32050,116650,120100,111600,24000,24000,30950,30950,27000,27000,27150,29200,26100,33750,31600,36150,13150,11300,14300,13650,13200,14750,11950
11/03/2019,11850,10800,10400,11900,11750,13150,12750,32200,32200,116400,119950,111300,23850,23850,32100,32100,28200,28200,27450,29400,26500,34500,32050,37400,13200,11300,14300,13650,13200,14750,12000
